,code,title,year,ratings_avg,nattions,genres
459,m5nQDa3,청년경찰,2017.0,7.693977799468623,['한국'],['액션']
460,mY5QnJW,올드보이,2003.0,8.223354615381453,['한국'],"['드라마', '범죄', '미스터리', '스릴러']"
461,mOoepm5,호빗: 스마우그의 폐허,2013.0,7.713475295569378,"['뉴질랜드', '미국']","['모험', '판타지']"
462,mWy1eyW,밀레니엄 : 여자를 증오한 남자들,2011.0,7.156014102032351,"['미국', '스웨덴', '노르웨이']","['범죄', '드라마', '미스터리', '스릴러']"
463,tlAngGW,터무니없는 스킬로 이세계 방랑 밥,2023.0,8.56232105363619,['일본'],"['애니메이션', '판타지', '모험']"
464,mWpmYgO,뉴 문,2009.0,6.741209608578797,['미국'],"['모험', '드라마', '판타지', '로맨스']"
465,m5DGE4B,검사외전,2015.0,7.424438589598404,['한국'],"['드라마', '액션', '코미디', '범죄']"
466,my5YK3O,화양연화 리마스터링,2000.0,8.097098844431061,"['홍콩', '중국']","['드라마', '로맨스']"
467,m5rQwBD,곤지암,2017.0,6.055979544307096,['한국'],"['공포', '스릴러', '미스터리']"
468,mOo0DqZ,남한산성,2017.0,7.309367953936213,['한국'],"['드라마', '시대극', '전쟁', '액션', '역사']"
469,mWwBw83,그것만이 내 세상,2017.0,7.5345925509938025,['한국'],"['드라마', '코미디', '가족']"
470,tRp4vN6,스킵과 로퍼,2023.0,8.873678403971683,['일본'],"['애니메이션', '로맨스']"
471,mdErj22,엑시트,2019.0,7.979419190040423,['한국'],"['코미디', '액션', '재난', '가족']"
472,moW4XlW,쉰들러 리스트,1993.0,8.394382606886508,['미국'],"['전기', '드라마', '역사', '전쟁']"
473,mO2MKGW,터미널,2004.0,7.909847183029788,['미국'],"['코미디', '드라마', '로맨스']"
474,mOgmjY5,관상,2013.0,7.370671370022554,['한국'],"['드라마', '시대극', '역사']"
475,tl9gDDb,호심,2023.0,8.28159645232816,['중국'],"['판타지', '드라마', 'TV드라마']"
476,mM5r8jO,더 문,2009.0,7.41756557979897,"['영국', '미국']","['드라마', '미스터리', 'SF']"
477,mdEw9nb,위플래쉬,2014.0,8.11135475810702,['미국'],"['드라마', '음악']"
478,m5ZXYKL,그레이의 50가지 그림자,2015.0,6.005538090088278,['미국'],"['드라마', '로맨스', '스릴러']"
479,mdjawmz,서치,2018.0,7.758209485377183,"['미국', '러시아']","['드라마', '미스터리', '스릴러']"
480,m5rgjEW,오블리비언,2013.0,6.925562555071873,['미국'],"['액션', '모험', 'SF']"
481,m5eJ1wR,아이 캔 스피크,2017.0,7.888547202773474,['한국'],['드라마']
482,tPVd37N,수업중입니다 2,2023.0,8.1625,['한국'],"['드라마', '로맨스', 'BL', 'TV드라마']"
483,mVWzB0W,오페라의 유령,2004.0,7.621445067878662,"['영국', '미국']","['로맨스', '뮤지컬', '음악', '드라마']"
484,m5Qq28G,스파이더맨: 홈커밍,2017.0,8.269783627560749,['미국'],"['액션', '모험', 'SF']"
485,m6dRKb5,아이덴티티,2003.0,8.076420880083656,['미국'],"['공포', '스릴러']"
486,m9dBPzW,해리가 샐리를 만났을 때,1989.0,7.77490605401336,['미국'],"['코미디', '드라마', '로맨스', '로맨틱 코미디']"
487,m5XMP4W,디센트,2005.0,6.596411259839018,['영국'],"['모험', '공포', '스릴러']"
488,mWv1lb5,범죄와의 전쟁 : 나쁜놈들 전성시대,2012.0,8.054031571650448,['한국'],"['액션', '범죄', '드라마']"
489,my5Yqj5,원스 어폰 어 타임 인 아메리카,1984.0,8.094108633281168,"['이탈리아', '미국']","['범죄', '드라마']"
490,mOVvJrq,미 비포 유,2016.0,7.866578915878904,"['영국', '미국']","['드라마', '로맨스']"
491,tPrz9Zw,하이큐!! TO THE TOP,2020.0,9.259550356424786,['일본'],"['애니메이션', '코미디', '드라마', '스포츠']"
492,mdEw3GE,동급생,2016.0,8.570420751076725,['일본'],"['애니메이션', '드라마', '로맨스', 'BL']"
493,mOgB6YW,스크림,1996.0,6.873551963048499,['미국'],"['공포', '미스터리']"
494,mY5QaG5,미션 임파서블,1996.0,8.079517431324847,['미국'],"['액션', '모험', '스릴러']"
495,tPDOwA1,문호 스트레이독스 5기,2023.0,8.922048997772828,['일본'],"['애니메이션', '액션', '코미디', '범죄', '판타지', '미스터리']"
496,mdKy7RW,장고: 분노의 추적자,2012.0,7.860778701244956,['미국'],"['드라마', '서부극']"
497,mdBzxzd,12명의 성난 사람들,1957.0,8.54487035693079,['미국'],"['범죄', '드라마']"
498,m5m1YNG,완벽한 타인,2018.0,7.642070699978937,['한국'],"['코미디', '드라마']"
499,mOb4jX5,썸머워즈,2009.0,7.530345597772469,['일본'],"['애니메이션', 'SF', '모험']"
500,mQO8625,김씨 표류기,2009.0,6.9530798739064865,['한국'],"['드라마', '로맨스', '코미디']"
501,m5QqX75,크로우즈 제로,2007.0,7.109731687556593,['일본'],"['스릴러', '틴에이저', '액션']"
502,mdjwRKw,말모이,2018.0,7.564123277442129,['한국'],['드라마']
503,mdMgAmm,나를 찾아줘,2014.0,7.8653959752687745,['미국'],"['드라마', '미스터리', '스릴러']"
504,m5YKE2j,미드소마,2019.0,6.777181655876359,"['미국', '스웨덴', '헝가리']","['드라마', '공포', '미스터리', '스릴러']"
505,mWwBMP3,불한당: 나쁜 놈들의 세상,2016.0,7.5866488845780795,['한국'],"['범죄', '액션', '드라마']"
506,tPJZKMp,"이쪽을 봐줘, 무카이군",2023.0,7.910621761658031,['일본'],"['로맨스', '코미디', '로맨틱 코미디', 'TV드라마']"
507,mW4Gpo5,브레이킹 던 part1,2011.0,7.269895997698524,['미국'],"['모험', '드라마', '판타지', '로맨스', '스릴러']"
508,m5DEeQW,브레이킹 던 part2,2012.0,7.312297692786873,['미국'],"['모험', '드라마', '판타지', '로맨스']"
509,m5rwLXm,타짜: 원 아이드 잭,2019.0,5.629559796829306,['한국'],"['범죄', '드라마']"
510,tEZAgkK,VIVANT,2023.0,7.257178526841448,['일본'],"['드라마', 'TV드라마']"
511,mO8KzlX,싱 스트리트,2016.0,7.934228427660752,"['아일랜드', '영국']","['코미디', '드라마', '음악', '로맨스']"
512,mO02n15,설국열차,2013.0,7.521572625030515,['한국'],"['액션', 'SF', '스릴러', '모험', '드라마']"
513,mObMNNW,인 타임,2011.0,7.144772047232842,['미국'],"['액션', 'SF', '스릴러']"
514,tEg84eR,원펀맨,2015.0,8.42673396698551,['일본'],"['코미디', '애니메이션', '액션']"
515,tRXNpDl,나츠메 우인장 1기,2008.0,8.417498442257727,['일본'],['애니메이션']
516,m5aVQDW,미녀는 괴로워,2006.0,6.927979034715885,['한국'],"['코미디', '드라마']"
517,mW9GGZd,최종병기 활,2011.0,7.11528612764864,['한국'],"['시대극', '액션', '전쟁']"
518,tlGmjZR,거침없이 하이킥,2006.0,8.539604225228818,['한국'],"['가족', '코미디', '시트콤', '드라마', 'TV드라마']"
519,m5x1Mex,소년시절의 너,2019.0,8.258308561236623,"['중국', '홍콩']","['범죄', '가족', '드라마', '로맨스']"
520,m5rboD5,마스터,2012.0,7.628145256848121,['미국'],['드라마']
521,mV53xjW,존 말코비치 되기,1999.0,7.714929151461354,['미국'],"['드라마', '코미디', '판타지']"
